source,target,weight
1,0,1
3,0,4
11,0,1
5,0,2
4,0,1
21,0,2
4,23,20
29,23,4
2,23,4
0,23,1
18,23,1
6,39,7
40,39,2
42,39,3
47,20,3
20,45,5
48,20,1
29,20,1
15,45,1
4,45,1
46,45,2
35,45,1
45,20,4
15,20,1
4,20,1
46,20,2
35,20,1
49,20,1
47,45,1
4,34,8
29,34,1
15,34,6
52,34,3
34,34,5
32,52,1
61,66,3
68,66,5
66,66,3
69,66,4
67,66,17
70,1,29
71,1,16
19,1,2
22,1,1
1,1,9
68,15,5
4,15,15
46,15,4
48,15,2
46,46,1
35,46,1
78,46,2
21,15,1
20,46,1
17,46,1
45,46,1
48,46,1
29,46,1
50,46,1
32,46,1
34,15,4
41,46,1
17,15,1
26,15,2
30,15,2
70,15,1
80,15,1
61,60,1
68,60,3
56,87,2
5,5,1
41,88,1
90,72,13
19,72,10
93,72,1
91,72,2
72,72,1
13,72,2
2,10,1
0,10,1
14,10,3
95,95,1
97,96,10
84,96,1
58,96,3
96,96,1
40,43,3
28,43,3
2,43,1
11,3,2
12,3,1
14,3,2
5,3,1
6,3,1
2,3,1
10,3,1
0,3,1
66,68,1
66,101,1
16,68,5
101,68,6
22,68,2
60,101,1
60,68,2
69,68,5
4,68,3
15,68,2
29,68,1
104,68,1
13,91,1
93,91,4
83,22,2
68,83,2
42,22,7
16,22,3
101,22,2
61,83,1
30,22,1
74,93,1
76,93,1
48,93,1
13,13,3
93,13,1
91,93,2
82,42,3
39,42,1
22,42,6
16,42,2
81,42,1
105,42,1
17,42,1
2,42,1
83,42,1
61,42,1
92,42,3
22,94,14
81,94,5
85,94,16
106,94,2
16,94,13
94,94,1
33,33,149
15,33,3
46,33,2
48,33,1
29,33,1
4,33,3
25,33,2
112,33,2
66,21,2
0,21,1
74,21,5
76,21,5
73,21,9
1,21,5
66,73,1
70,21,9
13,21,1
70,73,1
1,73,1
29,73,1
16,31,2
6,14,1
10,14,2
44,14,1
35,4,13
26,4,7
15,4,12
29,4,6
70,4,1
18,4,2
4,4,1
23,4,13
34,4,5
33,4,1
68,4,2
7,4,1
50,74,1
116,74,1
6,6,1
39,6,2
2,6,1
43,40,1
66,111,1
22,111,6
111,111,19
101,111,2
61,111,1
25,51,26
49,51,4
21,51,1
34,51,1
48,51,1
51,51,1
43,28,2
110,110,1
98,110,1
15,30,1
58,30,1
42,92,2
82,92,2
92,92,1
22,82,2
42,82,1
105,82,2
92,82,1
81,82,1
4,26,1
87,114,1
37,99,4
43,100,1
56,80,1
68,69,4
105,69,1
66,69,2
75,69,3
101,69,1
69,69,1
66,61,2
67,61,4
21,61,2
61,61,7
22,61,1
16,61,2
72,19,1
90,19,2
28,19,3
6,19,1
27,19,4
94,85,7
16,85,8
105,85,7
61,85,1
85,105,3
23,25,1
50,25,1
4,25,1
29,25,1
51,25,11
70,25,1
49,25,3
38,25,1
18,25,1
21,50,1
51,50,1
16,104,3
101,104,2
56,9,1
22,16,1
42,16,1
85,16,2
18,16,2
31,16,1
104,16,1
101,16,1
61,16,1
94,16,5
23,16,1
68,16,1
16,16,1
99,11,1
96,97,7
33,112,1
47,112,2
112,112,3
23,29,2
4,29,2
