source,target,weight
9,0,1
7,0,1
40,39,3
6,39,2
45,20,3
9,20,2
53,20,1
54,20,5
67,66,5
61,66,1
78,87,1
19,72,22
90,72,14
94,72,1
0,10,1
97,96,9
84,96,1
30,96,5
22,96,3
58,96,4
96,96,5
101,68,2
61,68,5
16,68,4
22,68,1
16,94,34
22,94,19
85,94,6
81,94,3
106,94,1
104,94,1
42,94,1
105,94,1
21,33,1
68,33,1
33,33,65
34,33,1
20,33,2
38,33,1
70,33,2
29,33,3
32,33,1
73,21,2
29,4,1
78,4,1
53,74,1
75,69,6
61,69,5
68,69,3
21,69,3
22,69,2
26,69,1
61,75,2
68,75,2
22,75,2
29,67,2
61,61,3
68,61,4
106,61,1
22,67,1
104,61,1
69,61,2
21,61,2
26,67,2
21,67,2
67,61,8
26,61,2
51,61,1
68,67,1
66,67,1
85,61,2
16,67,1
1,19,2
72,19,3
90,19,1
104,85,7
106,85,15
16,85,17
105,85,9
94,85,2
61,85,1
93,109,2
20,9,1
104,16,6
68,16,3
16,16,1
94,16,4
85,16,1
105,16,1
61,16,1
81,16,1
22,16,1
109,32,1
53,32,1
