source,target,weight
2,0,1
3,0,2
6,0,3
18,23,1
32,23,2
25,23,1
33,23,3
40,39,6
6,39,9
15,20,7
4,20,2
51,20,2
45,20,2
46,20,8
48,20,1
50,20,1
61,66,2
67,66,36
66,66,3
20,46,7
45,46,6
46,15,13
15,46,12
70,15,2
4,15,16
26,15,4
20,15,2
46,46,5
25,15,5
34,15,1
4,79,3
26,79,3
46,79,2
35,79,3
21,15,1
80,15,3
4,46,2
35,46,1
68,15,2
17,87,1
90,72,9
19,72,4
91,72,3
95,10,2
97,96,4
96,96,1
58,96,1
7,43,2
100,43,1
2,3,2
0,3,1
7,3,1
25,3,1
101,68,4
16,68,6
22,101,3
22,68,2
61,68,1
83,101,1
64,108,1
22,94,28
81,94,30
85,94,29
16,94,33
104,94,28
69,94,1
106,94,7
68,94,1
91,94,1
33,33,107
29,33,1
68,33,1
20,33,1
76,33,1
25,33,2
48,33,1
23,33,1
15,4,7
26,4,1
25,4,1
46,4,1
35,4,1
34,4,3
21,74,1
109,74,1
116,74,1
50,74,1
6,6,5
39,6,3
0,6,1
2,6,1
14,6,1
40,6,2
6,115,1
0,115,1
39,40,3
6,40,1
61,111,2
111,111,11
49,51,7
29,51,1
76,49,1
38,51,1
25,30,1
58,30,8
96,30,1
59,30,1
37,30,2
30,58,2
35,30,1
19,92,1
81,82,12
98,82,4
22,82,5
101,82,8
42,82,3
105,82,2
15,80,2
7,98,1
82,98,1
75,69,4
26,69,1
67,61,5
70,67,4
66,61,1
21,61,1
68,67,3
60,67,1
15,67,1
61,61,1
19,19,1
90,19,1
105,85,7
16,85,12
104,85,55
94,85,6
16,105,1
24,85,1
27,85,1
25,7,1
43,7,1
9,7,1
71,50,1
85,104,36
16,104,26
94,104,16
75,104,1
69,104,2
22,104,2
81,104,4
106,104,1
0,9,1
18,16,2
101,16,2
85,16,3
94,16,5
68,16,1
104,16,2
16,16,1
0,11,2
14,11,4
10,11,2
12,11,1
101,32,1
