source,target,weight
2,0,3
12,0,1
9,0,1
3,0,1
6,0,1
4,23,1
25,23,1
24,23,1
40,39,2
6,39,8
45,20,5
34,20,1
29,20,1
15,20,1
32,20,1
46,20,1
67,66,4
42,88,1
90,72,13
19,72,8
72,72,1
95,10,2
5,10,1
12,10,1
84,96,3
30,96,12
58,96,6
98,96,5
96,96,11
7,96,1
101,68,3
16,68,2
22,68,1
16,101,1
61,101,1
29,101,1
66,68,1
22,101,2
22,94,20
81,94,22
106,94,6
85,94,3
104,94,10
16,94,24
77,94,2
33,33,91
50,33,1
48,33,1
38,33,2
76,21,1
48,21,1
25,31,2
23,31,2
78,4,2
50,74,1
21,74,1
19,92,5
75,69,17
22,69,1
69,69,1
67,61,5
29,67,2
68,67,2
16,61,1
68,61,2
61,61,1
22,61,1
92,19,2
72,19,1
6,19,1
105,85,23
16,85,14
106,85,13
104,85,9
61,85,1
101,85,1
29,9,2
25,9,1
7,9,1
15,9,1
104,16,3
85,16,1
94,16,3
22,16,1
42,16,1
38,16,1
9,29,1
15,32,1
46,32,1
