source,target,weight
7,0,1
6,0,1
11,0,1
12,0,1
4,23,1
34,23,1
6,39,3
45,20,3
15,20,3
4,20,2
46,20,4
67,66,18
66,66,3
46,46,3
20,46,2
15,46,7
26,15,5
46,15,6
45,46,1
4,46,1
35,46,1
4,79,2
46,79,2
35,79,2
4,15,8
26,79,1
17,15,1
29,15,1
51,15,1
21,15,1
3,87,1
12,87,1
78,87,1
17,87,1
19,72,9
90,72,15
72,72,7
91,72,1
11,10,1
97,96,6
58,96,3
96,96,3
101,68,6
32,68,1
61,68,3
16,68,2
15,68,1
26,68,1
22,68,1
104,94,40
106,94,7
22,94,18
81,94,21
85,94,20
16,94,19
33,33,93
26,33,1
15,33,1
29,33,3
50,33,2
34,33,1
23,31,1
15,4,6
17,4,1
26,4,2
25,4,1
78,4,3
34,4,1
68,4,1
19,92,2
61,92,3
101,82,4
22,82,9
98,82,5
106,82,1
82,82,5
81,82,5
42,82,2
15,80,1
82,98,2
22,69,1
75,69,3
68,61,2
92,61,1
46,67,1
67,61,1
60,61,1
72,19,2
16,85,17
94,85,9
104,85,50
105,85,11
36,85,1
109,50,1
16,104,42
94,104,20
85,104,37
105,104,1
81,104,2
69,104,2
61,104,2
22,104,1
104,16,6
85,16,6
101,16,2
94,16,3
16,16,5
105,16,1
18,16,2
22,16,2
