source,target,weight
5,0,2
2,0,2
3,0,2
6,0,1
18,23,2
24,23,2
4,23,7
23,23,3
28,23,2
6,39,6
40,39,3
45,20,7
15,20,4
4,20,3
46,20,3
35,20,3
33,20,1
17,20,1
56,45,1
47,45,1
21,20,1
29,20,1
58,37,1
15,34,3
29,34,1
56,63,1
67,66,6
16,66,1
61,1,3
70,1,31
71,1,23
1,1,13
21,1,17
19,1,3
73,1,3
77,77,1
46,15,30
17,46,1
76,15,3
21,15,5
70,15,1
4,15,16
20,15,1
26,15,4
26,46,2
23,46,1
2,46,1
68,15,4
34,15,2
51,15,2
25,15,4
4,46,1
35,46,2
56,46,1
29,15,1
17,15,1
30,15,3
46,46,1
78,46,1
90,72,2
91,72,1
19,72,17
72,72,1
13,72,1
14,10,3
3,10,1
96,10,1
97,96,6
84,96,6
96,96,1
30,96,2
58,96,1
40,43,8
0,3,1
2,3,4
6,3,2
69,68,5
101,68,6
21,68,2
34,68,1
61,68,11
16,68,1
25,68,1
15,68,2
15,101,1
4,101,1
66,68,1
60,101,1
22,68,4
22,101,1
13,91,2
93,91,2
107,107,1
61,22,3
68,22,1
42,22,4
21,13,1
109,93,1
29,13,1
93,13,1
13,13,5
109,13,1
76,93,1
74,93,1
22,42,3
82,42,4
83,42,3
92,42,1
17,42,6
98,42,6
81,42,3
101,42,1
2,42,1
85,94,24
22,94,21
81,94,19
106,94,14
16,94,22
66,94,1
23,94,1
24,94,1
33,33,209
25,33,5
34,33,4
29,33,1
49,33,1
7,33,4
68,21,1
74,21,5
34,21,1
70,21,10
73,21,16
1,21,8
50,21,2
70,73,2
60,73,1
48,21,1
109,21,1
15,21,4
76,21,2
61,21,2
29,21,1
4,21,1
3,14,2
11,14,3
14,14,1
15,4,4
26,4,2
35,4,2
30,4,2
18,35,1
23,4,4
17,4,3
20,35,1
115,35,1
63,35,1
45,35,1
56,35,1
76,4,1
18,4,1
109,74,1
6,6,5
3,6,1
14,6,2
10,6,1
39,6,1
43,40,4
100,40,1
22,111,5
61,111,2
16,111,3
101,111,2
111,111,7
104,111,3
25,51,9
49,51,10
35,51,1
15,51,1
4,51,1
98,110,2
86,110,1
110,110,1
16,110,1
96,30,1
0,30,1
3,30,1
58,30,4
15,30,1
4,30,1
7,30,1
16,92,2
96,92,1
81,82,2
82,82,1
22,82,2
42,82,2
105,82,1
19,100,1
110,98,1
42,98,2
68,69,2
75,69,6
70,69,1
104,69,2
69,69,3
68,61,9
66,61,3
68,67,3
15,67,2
85,61,2
101,67,1
67,61,4
21,61,1
61,61,3
22,67,1
16,61,2
72,19,5
19,19,1
3,19,1
28,19,1
27,19,2
94,85,7
16,85,13
104,85,9
105,85,6
61,85,1
18,25,3
15,25,3
4,25,3
33,25,1
51,25,5
109,25,1
48,25,2
29,25,1
44,7,1
50,109,1
50,50,1
85,104,6
16,104,6
69,104,1
101,104,1
111,104,1
114,9,1
56,9,2
36,119,1
18,16,2
85,16,2
94,16,5
104,16,1
61,16,1
101,16,2
105,16,1
75,16,1
83,16,1
111,16,1
69,16,1
2,11,1
17,17,1
76,32,1
48,32,1
