source,target,weight
15,0,5
4,0,2
10,0,5
18,0,2
2,0,2
2,23,8
25,23,3
26,23,2
7,23,1
27,23,1
24,23,3
23,23,1
18,23,2
4,23,3
40,39,22
6,39,19
43,39,1
45,20,9
15,20,4
4,20,2
46,20,3
35,20,2
48,20,1
50,20,1
51,20,3
15,34,3
34,34,1
61,34,1
46,66,2
67,66,5
44,44,1
1,1,13
70,1,22
19,1,7
73,1,5
61,1,7
67,1,1
21,1,8
71,1,9
67,77,1
4,15,24
0,15,3
46,46,1
21,15,2
70,15,3
48,15,1
50,15,1
46,15,10
17,15,4
26,15,6
68,15,13
26,46,3
23,46,2
2,46,2
25,15,3
23,15,1
20,15,2
4,46,2
35,46,2
76,15,1
34,15,2
51,15,1
30,15,1
61,60,1
56,87,1
90,72,15
19,72,4
13,72,1
0,10,3
2,10,2
14,10,2
11,10,1
99,96,1
97,96,6
58,96,2
96,96,1
59,96,1
40,43,10
14,3,4
11,3,2
3,3,1
0,3,1
12,3,1
2,3,2
101,68,18
15,68,6
4,68,2
16,101,7
68,68,1
15,101,2
4,101,1
61,68,10
60,101,1
69,68,7
22,101,2
16,68,3
51,68,2
25,68,3
22,68,3
68,83,1
105,83,1
83,42,3
22,42,8
16,42,1
94,42,1
82,42,7
61,42,2
81,42,3
22,94,29
81,94,30
85,94,23
106,94,9
77,94,1
16,94,37
101,94,1
105,94,1
18,94,1
33,33,167
25,33,3
50,33,2
29,21,2
109,73,1
74,21,2
70,21,4
1,73,2
67,21,1
1,21,4
73,21,26
51,21,1
73,73,1
70,73,1
74,73,1
27,31,1
30,31,4
23,31,1
3,14,1
10,14,1
2,14,1
15,4,6
35,4,2
34,4,1
32,35,1
23,4,2
25,4,3
26,4,3
18,4,1
0,4,1
116,74,1
39,6,6
6,6,7
14,6,1
0,6,1
19,118,1
39,40,10
115,40,1
43,40,2
6,40,2
22,111,11
69,111,1
61,111,1
111,111,7
66,111,1
85,111,3
25,51,36
29,51,1
49,51,7
68,51,1
32,51,1
20,51,2
19,28,1
99,30,5
84,30,2
58,30,8
7,30,2
37,30,3
31,30,3
59,30,2
9,30,1
97,30,1
96,30,1
0,30,3
16,92,2
81,84,4
22,82,2
81,82,3
42,82,3
105,82,2
101,82,2
82,82,1
30,99,1
37,99,1
75,69,8
101,69,6
47,69,2
68,69,3
104,69,6
61,69,5
67,61,7
21,61,4
61,61,5
16,61,3
68,61,9
15,61,2
4,61,1
29,61,1
70,61,1
99,61,1
86,61,1
1,61,2
42,67,1
66,61,4
101,67,2
26,61,1
69,61,4
101,61,1
70,67,1
68,67,1
72,19,1
19,19,5
105,85,8
94,85,10
111,85,2
16,85,20
16,105,2
81,85,1
23,85,1
51,25,21
23,25,2
68,25,2
38,25,1
4,25,2
48,25,1
34,25,3
49,25,5
20,25,3
18,25,1
7,25,2
15,25,1
32,25,1
33,25,2
4,7,2
86,7,1
25,7,1
85,104,2
69,104,3
4,9,1
29,9,1
119,119,1
16,16,3
101,16,6
94,16,14
18,16,1
22,16,1
85,16,4
68,16,2
69,16,2
61,16,1
105,16,1
76,32,1
48,32,1
