source,target,weight
2,0,9
3,0,5
4,0,5
5,0,1
22,0,1
2,23,8
18,23,1
25,23,3
28,23,1
23,23,1
24,23,3
4,23,2
29,23,1
6,39,29
40,39,10
31,39,7
39,39,1
15,20,2
4,20,2
46,20,1
35,20,1
45,20,6
37,37,3
4,34,5
62,62,3
65,63,1
64,63,1
67,66,7
21,1,20
70,1,17
19,1,7
71,1,9
72,1,4
73,1,2
1,1,11
67,1,2
61,1,2
4,15,10
34,15,6
26,46,2
23,46,2
2,46,2
68,15,6
26,15,4
46,15,8
61,15,1
46,46,1
79,46,1
29,15,1
51,15,1
7,15,1
7,86,1
26,87,2
17,87,1
88,88,1
1,72,1
90,72,6
19,72,3
14,10,1
95,10,2
97,96,6
44,96,1
30,96,1
84,96,1
96,96,1
58,96,1
40,43,2
2,3,1
4,3,4
12,3,1
0,3,3
14,3,2
31,3,2
5,3,1
15,68,3
22,68,3
101,68,10
16,68,1
69,68,5
61,68,6
4,68,1
70,68,1
26,101,1
23,101,1
2,101,1
56,108,1
22,94,24
81,94,24
16,94,22
85,94,42
23,94,1
25,94,1
26,94,2
42,94,2
77,94,1
69,94,1
106,94,7
105,94,3
33,33,103
112,33,2
48,33,2
50,33,3
21,33,3
4,33,2
25,33,1
1,21,9
70,21,7
73,21,11
21,21,5
70,73,1
1,73,1
25,21,2
33,21,1
13,73,1
18,73,1
50,73,1
74,21,3
13,21,1
109,73,1
3,31,1
14,31,1
39,31,2
33,4,1
32,4,1
15,4,3
34,4,4
0,4,2
25,4,1
9,4,4
18,4,1
3,4,2
26,4,2
79,4,1
35,4,2
23,4,1
29,4,2
116,74,2
109,74,1
50,74,2
74,116,1
21,74,1
70,74,1
39,6,9
3,6,2
40,6,1
14,6,2
5,6,1
118,118,1
39,40,1
26,111,1
111,111,17
22,111,1
85,111,3
68,111,4
15,111,1
31,27,1
25,51,8
49,51,4
49,49,1
51,49,2
18,51,1
19,28,1
110,110,1
7,30,2
9,30,2
58,30,2
82,30,5
19,92,3
82,92,1
101,82,1
42,82,9
81,82,8
2,82,1
30,82,2
22,82,2
105,82,1
82,82,3
7,98,2
75,69,11
26,69,4
70,69,1
104,69,2
68,69,2
69,69,1
61,61,7
92,61,1
69,61,1
101,61,2
67,61,8
60,61,1
66,61,2
68,67,4
15,67,2
68,61,3
70,67,1
92,19,1
19,19,1
16,85,20
105,85,11
94,85,15
104,85,2
85,105,6
23,85,2
111,85,1
23,7,1
115,7,1
0,7,1
98,7,1
33,50,2
16,104,4
69,104,1
85,104,1
29,9,1
4,9,3
59,9,1
101,16,2
18,16,2
16,16,1
94,16,3
85,16,4
42,16,1
69,16,1
18,29,1
4,29,1
34,29,1
