source,target,weight
3,0,7
4,0,3
6,0,2
2,0,2
5,0,1
16,0,1
2,23,7
24,23,8
23,23,1
36,23,6
4,23,1
32,23,1
6,39,7
34,20,1
45,20,16
18,20,1
48,20,1
25,37,2
59,37,1
71,1,21
1,1,43
70,1,26
61,1,1
19,1,9
72,1,2
21,1,6
74,1,5
73,1,2
82,81,9
22,81,1
85,81,5
59,81,1
42,81,16
19,72,1
97,96,6
30,96,2
40,43,6
10,3,1
12,3,1
14,3,1
0,3,2
5,3,1
2,3,3
4,3,1
101,68,15
22,68,3
16,68,5
69,68,6
66,68,2
34,101,1
46,101,1
35,101,1
60,68,2
68,101,4
60,101,1
68,22,1
82,22,6
91,13,5
93,13,2
80,13,1
91,93,1
72,93,1
21,13,2
4,13,2
36,42,9
81,42,15
82,42,14
7,42,3
22,42,1
105,42,4
17,42,1
83,42,2
12,42,1
22,94,21
23,94,1
85,94,5
16,94,17
106,94,2
104,94,1
13,33,1
33,33,153
29,33,1
18,33,1
34,33,1
4,33,1
49,33,3
25,33,1
70,21,7
1,21,3
73,21,17
50,21,2
76,21,3
13,21,1
48,21,3
15,73,1
21,21,1
51,21,3
113,21,2
34,21,1
29,21,1
4,21,1
74,73,1
50,73,1
60,21,1
74,21,1
36,14,2
14,14,1
12,14,1
0,14,1
19,14,1
2,14,2
51,74,1
4,74,1
70,74,1
48,74,1
116,74,1
6,6,17
3,6,6
40,6,2
11,6,1
39,6,6
12,6,1
19,6,1
8,6,2
43,40,2
6,40,1
39,40,1
11,40,1
22,111,10
111,111,19
105,111,1
81,111,1
69,111,2
76,51,2
4,51,1
25,51,6
13,51,1
48,51,1
21,51,2
49,51,4
50,51,1
24,28,1
7,30,4
115,30,2
99,30,1
84,30,1
2,30,1
0,30,1
14,30,1
31,30,1
37,30,1
59,30,1
17,92,26
82,92,7
22,92,1
36,82,4
92,82,3
22,82,5
42,82,9
81,82,8
105,82,2
104,82,1
37,99,1
104,69,7
22,69,1
75,69,12
111,69,1
66,69,2
101,69,2
16,69,3
68,69,2
61,69,3
69,69,1
69,61,2
67,61,10
68,67,1
60,61,3
68,61,4
1,67,1
70,67,1
104,85,15
105,85,9
36,85,3
16,85,6
17,85,1
94,85,1
22,85,1
104,105,1
2,7,1
42,7,1
4,7,1
74,50,1
113,50,4
34,50,1
91,50,1
50,113,3
15,50,2
104,16,2
16,16,1
68,16,1
94,16,1
18,16,3
4,32,1
51,32,1
29,32,1
35,32,1
49,32,1
32,32,1
