source,target,weight
0,118,1
0,238,6
0,125,4
1,70,4
1,180,2
1,5,6
2,136,7
2,66,3
2,203,7
2,109,7
2,222,3
2,9,6
2,94,4
3,63,6
3,129,3
3,171,7
3,50,5
3,57,6
4,37,3
4,166,4
4,51,5
5,68,5
5,240,3
5,6,5
5,116,2
5,17,5
5,208,5
5,224,5
5,24,7
5,112,4
5,7,5
5,8,2
5,104,7
6,128,7
6,190,4
6,91,4
7,100,6
7,190,3
7,218,6
7,133,2
7,186,3
7,19,5
7,183,3
8,10,4
8,100,1
8,240,2
8,50,2
8,173,1
9,188,5
9,192,3
9,217,4
10,12,5
10,186,2
10,218,1
11,132,7
11,197,1
11,44,4
11,167,3
11,158,6
11,183,3
12,240,7
12,190,2
12,74,5
13,220,7
13,25,5
13,59,4
14,142,7
14,55,5
14,150,5
14,34,3
14,87,4
15,186,6
15,142,6
15,150,5
15,162,5
16,216,3
16,35,3
17,173,4
18,203,5
18,159,6
19,24,4
19,173,7
20,246,1
20,152,1
20,216,2
20,131,2
20,242,4
20,48,7
21,242,2
21,152,1
21,151,6
21,125,5
22,145,3
22,201,1
22,194,7
22,34,4
22,47,7
22,243,1
23,77,2
23,221,7
23,69,7
23,205,5
23,217,1
24,68,7
24,224,2
25,98,5
25,105,1
26,36,2
26,153,2
26,207,1
27,167,3
27,239,3
27,169,7
27,231,1
28,39,2
28,150,7
28,106,2
28,87,2
28,65,4
28,62,7
29,117,7
29,86,3
29,167,3
29,197,7
30,154,7
30,225,5
30,184,3
30,60,3
31,230,5
31,232,7
31,233,5
32,187,6
32,72,4
32,81,4
32,171,2
32,103,5
32,123,5
33,235,2
33,120,7
33,248,5
34,189,2
34,148,6
34,141,3
34,248,5
35,223,4
36,37,1
36,185,7
37,65,5
37,172,3
38,148,7
38,150,5
38,245,3
38,248,3
39,243,5
40,63,3
40,50,5
40,212,3
40,46,2
41,43,2
41,207,6
41,215,4
42,55,2
42,80,4
43,171,2
43,202,4
43,168,3
43,56,5
43,45,3
43,165,2
43,57,3
43,103,5
43,81,5
43,82,3
43,107,4
43,115,5
43,123,4
43,236,6
43,163,3
43,67,5
44,167,7
44,86,1
44,183,6
45,171,5
45,115,1
46,171,1
46,165,1
46,176,6
47,194,1
47,87,7
47,243,4
48,57,2
49,191,7
49,232,2
49,76,7
49,230,7
50,171,1
50,57,5
51,172,5
51,215,6
51,74,2
51,97,6
52,142,7
52,201,4
52,150,5
52,80,7
52,243,6
53,138,6
53,93,5
53,247,7
53,230,4
53,232,3
54,130,4
54,230,3
54,76,5
54,229,6
55,248,4
56,165,4
56,171,7
57,171,1
57,168,2
57,213,6
57,65,6
57,67,5
58,158,1
58,167,5
59,155,1
59,234,6
59,230,3
60,167,6
60,174,6
61,241,1
61,143,2
61,205,4
61,209,4
61,244,2
62,243,2
63,160,7
63,171,4
63,67,6
63,82,3
64,184,7
64,96,2
65,84,2
65,146,3
65,101,3
65,108,4
66,137,7
66,203,3
66,88,5
67,236,5
68,173,1
68,208,4
69,188,5
69,73,2
69,99,3
70,190,1
70,85,2
70,78,4
70,104,6
71,170,1
71,134,1
71,113,4
71,193,2
71,230,4
71,232,5
72,187,2
72,84,4
73,221,5
74,149,2
74,199,6
74,172,2
74,182,4
74,219,2
74,163,4
74,124,6
75,171,1
75,85,7
75,128,6
76,222,6
76,138,3
76,130,7
76,141,5
76,230,2
77,192,4
78,133,2
79,167,3
79,195,2
79,204,5
79,112,5
80,145,4
81,171,5
81,181,4
81,93,5
82,213,4
83,147,7
83,149,1
84,171,1
84,129,3
84,89,3
86,158,4
86,169,6
86,200,2
87,106,4
87,245,7
88,90,6
89,202,6
89,168,7
90,135,4
90,136,6
90,137,3
91,180,3
92,102,5
92,230,5
92,233,3
93,198,1
93,130,3
93,138,5
93,230,4
95,145,6
95,148,3
96,132,5
96,167,7
97,230,2
97,139,7
97,185,1
98,141,7
99,196,6
100,173,6
101,182,7
102,227,1
102,230,7
104,173,3
105,226,1
105,118,3
106,120,3
107,168,3
107,171,6
108,171,7
109,137,5
110,132,4
110,167,1
110,175,2
111,196,3
111,221,4
111,244,5
112,183,1
112,204,1
113,170,6
113,230,2
114,151,2
114,216,5
117,184,3
118,232,7
119,140,1
119,230,5
119,232,2
119,233,3
119,127,3
120,201,7
121,131,5
121,151,6
121,152,2
121,216,1
122,186,4
124,146,5
126,234,6
127,200,4
127,163,5
128,133,7
129,171,7
129,176,1
130,193,4
130,232,7
130,229,3
130,178,6
130,230,2
131,161,4
131,223,1
134,157,7
134,222,5
134,144,3
134,156,1
134,230,2
135,209,4
135,221,2
135,196,6
135,210,7
136,241,6
138,193,3
138,247,4
138,222,5
139,177,4
139,153,6
139,228,7
140,227,2
140,230,4
141,246,6
141,223,5
141,151,7
142,184,2
142,162,1
143,192,6
143,221,2
143,159,1
144,178,6
144,164,6
144,232,4
145,243,6
146,166,1
146,149,1
146,172,3
146,199,7
147,228,6
148,235,5
148,243,7
149,172,5
149,199,3
150,248,3
151,220,5
151,234,2
151,246,1
152,155,4
152,226,5
153,215,4
153,179,2
154,184,7
154,239,5
155,214,1
155,246,7
155,161,7
155,248,6
156,198,6
156,230,1
156,233,2
157,232,1
157,237,4
157,230,4
158,169,6
158,167,6
158,184,4
158,211,4
160,176,5
162,189,4
163,229,1
163,179,3
164,198,7
164,222,4
164,230,6
165,213,5
167,174,2
167,206,6
167,204,1
167,200,5
167,243,6
167,211,6
167,232,7
168,171,7
168,212,2
170,230,4
170,232,5
171,181,4
171,249,6
171,212,5
171,187,6
171,176,5
172,177,1
172,185,5
173,186,1
173,230,6
174,200,6
175,200,4
177,182,4
178,230,7
178,232,3
180,224,7
180,190,4
183,225,5
184,195,1
186,230,7
186,208,1
190,199,6
191,193,1
191,230,1
191,232,1
193,230,6
193,232,2
196,221,5
198,230,6
199,219,6
200,206,2
201,243,5
204,206,2
207,215,2
209,210,6
213,249,1
214,242,2
222,230,5
223,238,5
225,231,5
227,230,7
229,230,2
230,233,5
230,232,1
230,247,6
230,237,2
232,237,1
232,243,1
234,238,7
235,243,3
235,248,5
