Source,Target
6740,9453
2832,9453
2832,537
3927,5774
3927,6179
855,9599
537,9453
404,9453
5774,7965
5774,6179
7965,6179
6305,6769
4326,9453
2832,537
2832,9453
6179,7965
3927,7965
855,9599
537,9453
2335,9453
7965,5774
7277,10636
4326,9453
4326,404
9453,537
9453,404
9453,2832
2832,537
3927,7277
855,9599
6305,6769
2832,404
2832,537
6179,3103
6305,6769
855,9599
537,2335
404,2335
4326,537
9453,537
9453,404
2832,537
5467,5774
3103,5774
3103,6179
3927,10636
855,9599
5774,6179
6305,6769
4326,9453
4326,537
9453,537
9453,3927
6179,5774
6179,3103
6179,5467
5467,5774
5467,3103
3103,5774
6305,6769
537,404
9599,855
3927,10636
4326,6769
9453,3927
9453,6769
5467,3103
5467,10636
3103,6179
3927,10636
855,9599
5774,7277
855,9599
537,6740
537,404
7965,6179
4326,9453
2832,537
2832,404
2832,6740
5467,6179
3103,7965
537,404
537,6740
404,6740
9599,855
4326,9453
2832,537
2832,404
2832,6740
5467,7965
5467,6179
537,6740
6179,10636
7965,7277
4326,9453
7277,3927
537,6740
537,2832
404,2832
2832,6740
4326,9453
1798,3827
2832,6740
2832,404
2832,537
5467,6179
3927,6179
537,6740
4326,9453
6179,3927
6179,5467
6305,6740
537,6769
537,6740
537,404
404,6740
7965,5467
2832,6740
4326,9453
2832,404
6179,3927
6179,5467
6305,6769
537,404
7965,5467
3927,5467
6179,3927
6179,7277
6179,7965
3927,5467
2335,6740
6305,6769
6740,9453
537,2832
537,404
4326,9453
2832,404
6179,3927
6179,7965
6179,5467
6179,7277
3927,3103
3927,7965
3927,5467
2335,537
2335,6740
6740,9453
6740,404
537,404
4326,9453
3927,5467
1798,3827
2335,537
2335,6740
5774,3103
5774,7965
6740,9453
6740,537
4326,9453
2832,404
5467,3103
5467,7965
2335,404
2335,6740
2335,2832
6305,6769
5774,10636
6740,2832
6740,9453
6740,404
4326,9453
2832,404
1798,404
1798,2832
2335,9453
2335,404
6305,4326
9599,855
3827,404
3827,2832
6740,537
6740,2832
2832,404
4326,6305
2832,537
2832,404
2832,6740
5467,7965
2335,9453
3927,7965
855,9599
537,6740
537,404
7965,6179
6305,6769
4326,2335
4326,6769
4326,6740
6740,6769
6740,537
6740,6305
2832,537
2832,404
5467,5774
5467,7965
2335,9453
537,404
7965,3927
9599,855
6179,7965
1798,2832
5467,7965
2335,4326
2335,9453
9599,855
6740,2832
537,404
2832,404
1798,3827
2335,4326
2335,9453
6305,6769
9599,855
537,404
4326,9453
6179,2832
3927,10636
2335,4326
2335,9453
9599,855
537,404
537,2832
4326,9453
2832,404
6179,3927
3927,10636
3927,5467
2335,9453
6305,6769
9599,855
537,2832
2832,404
6179,10636
5467,7965
2335,9453
9599,855
537,2832
2832,404
6179,7965
3927,6875
6875,404
5467,3103
2335,4326
2335,9453
9599,855
537,2832
537,404
4326,9453
2832,404
6179,5467
6875,404
6875,537
6875,2832
5467,3103
2335,4326
537,2832
537,404
4326,9453
2832,404
6875,404
6875,537
6875,2832
5467,3103
5467,5774
2335,4326
6305,6769
6305,9453
537,404
537,2832
537,4326
2832,404
6179,5774
6179,10636
6875,404
6875,2832
537,404
537,2832
537,4326
2832,404
6179,5774
6179,10636
5467,5774
6740,404
6740,9453
537,4326
537,9453
537,404
4326,404
4326,9453
6179,3103
6179,10636
5467,5774
5467,10636
5774,10636
6740,537
6740,404
537,404
6875,855
5467,5774
5467,7965
5774,10636
6740,4326
6740,404
4326,404
6179,7277
5467,3103
5467,5774
5467,7965
5467,10636
6740,4326
6740,537
6740,2832
6740,404
537,2832
4326,404
2832,404
6179,3927
5467,5774
5467,10636
9599,855
6740,537
6740,2832
537,2832
10636,7965
4326,404
6179,3927
9599,6740
9599,855
6740,537
6740,2832
537,2832
6179,3927
6875,6740
6875,404
5774,7965
9599,855
6740,2832
2832,404
3927,5774
6875,6740
6740,2832
6740,404
537,404
6179,3927
3927,5774
1798,3827
5467,7965
6305,6769
6740,2832
6740,404
7277,7965
537,404
6179,3927
1798,3827
5467,3103
5467,10636
2335,2832
6305,6769
5774,3103
5774,10636
9599,855
6740,2832
537,404
9599,855
537,4326
537,404
6179,3103
3927,7965
5467,3103
5467,10636
5774,7965
9599,855
537,4326
537,404
3927,3103
9599,6740
9599,2832
6740,9453
6740,2832
537,4326
537,404
4326,404
2832,855
2335,6740
9599,855
537,4326
537,404
2832,9453
6179,3103
1798,3827
2335,9453
6305,6769
9599,855
6740,2832
537,4326
1798,3827
2335,9453
6305,6769
9599,855
6740,2832
7277,7965
537,404
2832,9453
1798,3827
2335,9453
2335,2832
6305,6769
5774,10636
9599,855
6740,4326
6740,9453
6740,2832
4326,9453
4326,2832
2832,9453
3927,7277
3927,10636
5774,10636
9599,855
6740,2832
537,9453
4326,2832
6179,5774
1798,3827
5467,7277
5467,7965
5774,7965
6740,9453
6740,2832
537,2832
4326,2832
5467,7277
6305,6769
5774,10636
9599,855
537,9453
537,2832
2832,9453
404,9453
6179,7965
3927,7965
2335,6740
2335,404
6305,6769
6740,9453
6740,404
10636,7965
4326,9453
4326,2832
2832,9453
6179,7965
6179,5467
3927,7965
5467,7965
2335,6740
2335,404
2335,537
9599,855
6740,404
6740,537
537,404
6179,7965
2335,6740
2335,404
2335,537
6305,6769
537,404
6179,5774
2335,537
9599,855
6740,537
6179,5774
3927,5467
3927,10636
2335,6740
6740,404
2832,404
3927,5467
3927,10636
6740,404
6740,537
6740,2832
3103,10636
2832,404
6179,3927
6179,7965
2335,6740
2335,2832
6740,537
2832,404
6179,7965
3927,7965
2335,2832
2335,537
9599,855
6740,9453
6740,2832
6740,537
537,2832
2335,6740
2335,2832
6740,2832
537,2832
4326,2832
6305,6769
537,2335
537,2832
537,404
2832,6740
4326,2832
9453,404
9453,537
9453,2832
537,2335
404,2335
6740,2832
3827,1798
4326,9453
4326,2832
537,404
9453,2832
3827,1798
4326,2832
1798,3827
2832,9453
2832,6740
6305,6769
4326,2832
1798,3827
6305,6769
404,9453
9453,2832
2832,6740
1798,3827
5774,3927
537,6740
404,9453
404,6740
9453,2832
1798,3827
6305,6769
537,9453
537,404
537,6740
404,9453
404,2832
404,6740
2335,2832
3927,6179
2832,6740
2832,9453
9453,6740
4326,6740
4326,2832
1798,3827
2832,2335
2832,6740
2335,537
537,6740
537,404
537,9453
404,9453
3103,10636
7965,10636
9453,6740
1798,3827
2335,4326
6740,9453
6740,2832
537,9453
537,404
10636,7965
4326,404
2832,404
404,9453
4326,537
4326,2832
4326,9453
2832,537
2832,404
10636,6179
4326,2832
4326,537
4326,404
4326,9453
6740,537
2335,404
9453,537
9453,2832
9453,404
537,2832
404,2832
10460,7474
3927,5467
2335,404
6305,6769
9598,9268
537,4326
4058,9268
4326,2832
4326,404
2832,404
404,9453
2335,404
8752,9268
7277,5774
5774,10636
537,404
2743,3646
2743,340
4058,340
4058,9268
4058,3646
4326,404
4326,9453
4326,2832
2832,404
340,3646
6179,7965
1798,3827
2335,6740
2335,404
8752,6755
8752,2743
8752,3683
9598,2743
9598,9268
6740,2832
5774,7965
2743,6755
2743,9268
4058,784
4326,404
4326,9453
4326,2832
2832,404
340,3646
340,784
784,3646
6179,3927
8752,6755
9598,30
3927,7965
537,4326
537,404
2743,6755
10636,7965
2378,6755
2378,6425
4326,404
4326,2832
6740,404
6740,2832
2832,404
340,784
340,3646
3683,30
6755,784
784,3646
6179,3927
30,3683
8752,6755
8752,2743
9598,3683
2533,3683
6740,9453
537,2832
2743,9268
4058,6425
2378,6425
4326,404
4326,2832
2832,404
784,3646
6305,6769
6179,3927
7266,340
7266,9268
4058,10339
8752,2743
537,2832
2743,6755
10339,30
10339,849
2832,404
784,3646
6179,3927
1520,6425
1520,9598
2335,9453
2335,404
30,3683
8752,6755
6506,3683
6740,404
2343,849
537,9453
3683,849
404,9453
6755,9268
6755,3646
7266,2378
4058,10339
30,849
30,9543
8752,340
9598,3646
2533,3683
6740,2832
2343,849
5467,7965
2378,6425
6305,6769
7266,1520
1520,6425
2335,9453
2335,404
2335,6740
2335,537
30,2343
30,3646
30,3683
30,9598
8752,6755
8752,6425
6506,849
9598,784
9598,340
9598,3646
2533,2743
6740,4326
6740,9453
6740,404
2343,9543
537,4326
537,9453
5467,7965
2378,784
340,6755
340,6425
3683,3646
849,3646
404,9453
6755,784
6305,6769
7266,8752
7266,1520
2335,537
2335,404
30,10339
30,2832
30,3646
8752,2378
8752,784
6506,2832
6506,3683
9598,849
9598,9543
9598,3683
9598,2343
6740,4326
6740,9453
2343,3683
2343,9543
537,4326
537,404
2743,784
4326,6769
2832,849
3683,9543
404,9453
7266,2378
7266,6425
7266,784
2335,4326
2335,404
30,9268
6506,4058
6506,9268
6740,404
537,4326
537,404
537,2832
2378,6755
2832,404
6755,9268
6305,6769
7266,6425
7266,1520
1520,9543
1520,2343
5467,7965
2335,4326
2335,6740
30,4058
30,3683
8752,2378
8752,6755
8752,9598
6506,9598
6506,3683
9598,6755
9598,10339
3927,5774
10339,6755
2343,849
2343,9543
6740,2832
6740,404
2832,9453
2832,404
3683,6755
9543,849
404,9453
6305,6769
6179,5774
6305,6769
8752,30
8752,6755
6506,9598
2533,2743
2533,4058
