source,target,weight
2,0,5
6,0,1
3,0,2
4,0,2
7,0,4
8,0,1
5,0,1
2,23,5
25,23,1
18,23,6
9,23,3
30,23,2
7,23,1
24,23,3
27,23,1
31,23,1
4,23,5
0,23,1
32,23,2
29,23,1
6,39,27
44,39,1
40,39,34
39,39,1
45,20,7
15,20,3
4,20,2
46,20,1
35,20,1
51,20,2
47,20,2
49,20,1
25,20,1
34,45,1
52,45,1
25,37,1
58,37,1
30,37,4
64,63,1
56,63,1
67,66,4
48,67,1
68,67,2
60,67,1
21,1,3
70,1,1
71,1,5
77,77,1
34,15,4
25,15,4
26,15,5
69,15,1
26,46,3
23,46,3
2,46,4
46,46,11
48,15,2
4,15,16
17,15,1
46,15,8
15,46,6
26,79,3
56,79,3
49,79,1
46,79,5
32,46,1
35,46,2
79,46,4
45,46,1
78,46,1
68,15,4
23,15,1
30,79,3
58,79,3
15,79,1
78,79,1
20,79,1
45,79,1
4,46,1
4,87,1
90,72,12
19,72,7
93,72,1
90,90,1
30,96,2
44,96,1
97,96,4
96,96,5
58,96,2
19,43,1
40,43,1
7,3,1
11,3,1
101,68,5
16,68,8
18,68,2
66,68,1
22,68,3
33,68,2
15,68,1
4,68,2
61,68,6
21,68,1
29,101,1
32,101,1
51,101,1
25,101,1
22,101,1
83,101,1
93,91,1
42,94,1
81,94,29
22,94,25
85,94,18
16,94,24
104,94,8
75,94,1
94,94,1
69,94,2
106,94,3
33,33,153
4,33,4
25,33,5
68,33,1
29,33,1
48,33,1
15,21,1
73,21,16
70,21,16
74,21,5
76,73,6
25,21,1
60,21,1
74,73,1
109,73,2
21,21,3
2,31,1
26,4,4
34,4,6
25,4,2
15,4,4
35,4,7
29,4,3
7,4,5
68,4,1
30,4,5
23,4,1
34,35,1
116,74,2
109,74,1
21,74,1
10,6,1
40,6,14
39,6,14
6,6,3
14,6,1
115,40,1
6,40,1
22,111,4
61,111,4
67,111,1
111,111,3
85,111,4
101,111,1
25,51,15
49,51,3
15,51,1
20,51,1
51,51,1
59,30,5
9,30,3
10,30,1
58,30,5
112,30,1
37,30,3
99,30,1
84,30,1
7,30,3
115,30,2
4,30,4
99,58,1
84,58,1
58,58,1
31,30,1
23,30,1
24,30,1
66,92,2
19,92,1
61,92,1
22,82,2
42,82,1
81,82,9
101,82,4
14,82,1
92,82,1
59,82,1
30,82,1
43,100,1
93,80,1
26,80,1
13,80,1
68,69,1
61,69,3
22,69,2
94,69,1
75,69,4
69,69,1
104,69,1
67,61,2
61,61,3
70,67,3
68,61,3
69,61,2
66,61,1
75,61,1
15,67,1
111,61,1
60,61,1
72,19,3
118,19,3
28,19,1
94,85,7
16,85,40
104,85,13
105,85,18
85,105,11
111,85,2
4,7,4
115,7,1
0,7,2
94,104,7
16,104,12
85,104,12
23,9,1
94,16,8
75,16,3
104,16,5
85,16,19
61,16,1
68,16,2
101,16,3
38,16,1
16,16,11
81,16,1
14,11,2
2,11,3
4,29,1
30,29,1
109,32,1
