source,target,weight
3,0,2
7,0,1
40,39,1
6,39,3
19,39,1
29,20,2
32,20,2
45,20,3
62,62,1
67,66,6
68,66,2
61,66,1
4,87,2
88,88,1
10,88,1
90,72,12
19,72,13
93,72,1
96,96,1
30,96,2
97,96,2
101,68,1
66,68,1
22,68,2
69,68,1
61,68,2
22,94,14
16,94,11
85,94,6
106,94,7
81,94,9
104,94,8
33,33,91
29,33,1
68,33,1
32,33,1
73,21,3
70,21,1
25,31,1
25,4,1
78,4,6
4,78,4
4,4,1
19,92,3
72,92,1
75,69,8
26,75,1
22,69,1
21,69,1
26,69,2
16,69,2
68,61,1
29,61,1
67,61,3
60,61,1
22,61,1
61,61,3
101,61,1
72,19,2
106,85,11
16,85,12
105,85,8
94,85,2
104,85,3
53,48,1
60,53,1
25,9,2
104,16,3
81,16,3
22,16,2
68,16,2
61,16,1
85,16,2
