source,target,weight
3,0,3
6,0,4
5,0,1
9,0,1
7,0,2
10,0,1
2,0,4
19,23,1
32,23,5
22,23,1
18,23,3
4,23,1
6,39,8
40,39,12
45,20,4
15,20,2
4,20,3
47,20,1
51,20,1
25,20,1
46,20,5
35,20,1
56,63,1
67,66,5
77,77,1
46,15,14
25,15,4
26,15,4
15,15,3
20,46,4
45,46,4
4,79,2
35,79,2
4,15,14
61,15,2
70,15,2
46,46,7
30,79,1
58,79,1
7,86,1
78,87,1
4,87,2
90,72,13
19,72,12
95,10,1
84,96,2
58,96,2
97,96,1
96,96,3
2,3,3
6,3,2
0,3,1
25,3,1
101,68,3
22,68,1
32,68,1
16,68,5
64,108,1
22,94,27
81,94,27
85,94,15
16,94,14
104,94,18
106,94,3
18,94,1
94,94,1
33,33,99
25,33,3
26,33,2
15,33,1
34,33,2
4,33,2
23,33,1
74,21,1
48,21,1
70,21,6
33,21,1
73,21,3
1,21,1
61,73,1
15,4,8
26,4,1
25,4,3
0,4,1
25,35,1
7,35,1
34,4,4
33,4,1
35,4,4
87,4,1
70,4,1
15,35,1
32,4,1
20,4,1
9,4,1
22,4,1
34,35,1
109,74,2
50,76,2
109,116,1
74,116,1
0,6,1
39,6,6
40,6,2
6,6,7
5,6,1
79,6,1
39,40,3
61,111,5
22,111,1
111,111,7
29,51,5
38,49,1
32,49,1
49,49,1
49,51,9
32,51,2
74,51,1
38,51,2
98,110,1
32,110,1
7,110,2
58,30,12
0,30,2
9,30,1
7,30,2
32,30,1
25,30,1
42,82,6
22,82,5
81,82,4
105,82,2
59,82,1
92,82,1
101,82,1
82,82,1
83,82,1
15,80,5
26,69,5
61,69,3
15,69,1
75,69,1
69,69,1
111,61,2
61,61,11
60,61,1
70,67,2
15,61,1
67,61,4
22,67,1
22,61,1
72,19,2
105,85,6
94,85,7
104,85,17
37,7,1
3,7,1
22,7,2
110,7,1
76,50,1
21,50,1
32,50,1
109,50,1
16,104,19
85,104,12
94,104,10
81,104,1
7,9,1
61,16,1
104,16,2
94,16,3
105,16,2
18,16,3
68,16,3
101,16,1
66,16,1
22,16,1
85,16,1
14,11,4
0,11,2
3,11,1
10,11,3
11,11,1
18,29,1
