source,target,weight
70,1,16
1,1,3
72,1,1
19,1,1
0,1,1
71,1,9
17,1,2
73,1,1
42,81,10
82,81,4
16,81,1
83,81,1
22,81,2
22,68,3
69,68,2
101,68,1
66,68,1
101,101,1
66,22,1
81,22,1
68,22,1
82,42,6
81,42,8
22,42,2
36,42,1
83,42,3
110,42,1
22,94,5
85,94,3
16,94,5
69,94,1
73,21,5
21,73,2
1,21,1
76,21,3
70,21,2
29,21,1
4,21,1
48,21,4
50,21,2
13,21,1
69,111,3
22,111,3
81,111,1
25,51,4
49,51,2
17,92,1
36,92,2
22,92,1
92,82,1
22,82,1
81,82,2
101,82,2
36,82,1
69,69,9
101,69,3
111,69,1
68,69,1
104,69,8
69,61,1
68,61,1
67,61,1
94,85,1
106,85,8
16,85,2
22,104,2
85,104,5
16,104,2
69,104,1
106,104,1
104,16,1
94,16,2
25,29,4
4,29,6
4,32,2
