source,target,weight
4,0,2
13,0,1
6,0,1
8,0,1
3,0,3
5,0,1
14,0,1
2,0,2
24,23,5
23,23,1
35,23,1
27,23,1
2,23,3
36,23,13
4,23,1
25,23,1
26,57,1
66,67,1
1,1,9
74,1,6
70,1,39
21,1,7
61,1,3
71,1,25
73,1,13
76,1,1
67,1,3
17,1,2
0,1,1
22,81,1
97,96,4
30,96,1
36,3,2
17,3,1
0,3,2
101,68,5
22,68,1
69,68,2
15,68,1
60,101,1
16,68,4
70,68,1
85,106,9
33,13,1
4,13,1
72,93,3
93,13,2
90,93,3
91,93,2
25,13,2
72,13,1
51,13,1
12,42,1
81,42,5
82,42,14
36,42,2
83,42,1
105,42,1
22,94,21
85,94,8
16,94,6
23,94,3
106,94,4
33,33,69
29,33,1
60,21,1
70,21,11
66,21,2
73,21,31
113,21,2
74,21,2
50,21,4
1,21,4
1,73,1
71,73,1
11,21,1
76,21,1
50,73,1
113,73,1
32,73,1
61,21,6
4,21,1
51,21,1
91,21,1
59,31,1
63,64,1
87,64,1
114,64,1
6,6,47
39,6,7
3,6,2
19,6,4
5,6,1
111,111,15
69,111,8
22,111,10
81,111,2
82,111,3
24,27,1
25,51,8
49,51,6
34,51,2
51,51,1
76,51,1
22,30,1
4,30,2
82,92,10
17,92,26
36,92,11
22,92,7
69,92,1
68,92,1
42,82,8
22,82,2
92,82,5
81,82,5
36,82,2
111,82,2
30,82,1
37,99,2
104,69,11
22,69,2
61,69,5
101,69,1
69,69,5
68,69,1
94,69,1
21,61,4
70,61,1
61,61,1
66,61,2
67,61,6
69,61,2
1,61,1
1,67,2
68,67,1
60,61,2
68,61,1
22,61,1
105,85,4
16,85,11
94,85,2
85,85,1
106,85,8
15,113,1
50,113,7
113,50,6
113,113,1
69,104,5
22,104,7
85,104,10
4,9,1
101,16,3
104,16,5
94,16,1
69,16,3
85,16,1
22,16,2
68,16,2
16,16,1
4,29,1
34,29,1
15,32,1
70,32,1
4,32,1
46,32,1
